Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Glassås choklad;1778;352;1471;69,5;5,53;3,13;3,9;16,76;0;1,14;17,88;37,23;26;0;55,1;2,35;0;0,02;0,05;1,79;0,45;0,02;2,71;0,01;2,68;0,21;0,21;0;0;0;0;0;2;0;0;5;0,1;1,34;1;0,01;0,08;0;0,24;0,8;0,01;0;13,3;91,4;5;2,77;50,5;306,7;0,32;41;102,4;0,26;2,1;0,66;3,43;0
Glassås frukt;1779;316;1324;77,8;0;0,1;0;21,76;0;0,32;25,55;28,6;17,9;0;54,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,1;0,03;0;0;0;8,8;6,3;1;0,06;3,2;30,6;0,06;1,2;106,8;0,27;1,1;0;7,4;0
Äppelpaj m. botten lock;1780;291;1216;40;12,5;3,2;2,4;41;0;0,9;6,9;16,1;15,9;0;23;4,2;0,15;0,47;0,27;1,71;1,43;0,07;6,25;0,1;5,98;1,44;1,27;0,17;0;0;0;0;19;126;126,8;10;1,81;0,5;;0,05;0,02;4;0,5;1,03;0,03;0;4;81;;1,7;22;81;;9;235;0,59;1;0,3;;0
Rabarberpaj;1781;274;1148;34,56;13,33;2,63;2,86;45,95;0;0,61;0,49;16,65;16,33;1;17,1;6,6;0,6;0,32;0,7;3,8;0,82;0,02;4,18;0,1;4,18;1,79;1,23;0,35;0,01;0;0;0;26,81;;120,3;;0,77;1,47;;0,04;0,02;4,1;0,32;0,8;0,03;0,04;33,3;45,9;2;0,36;12,9;144,6;;10,6;87,8;0,22;2,85;0,27;;
Äppelpaj;1782;222;927;25,02;12,15;2,28;1,68;58,46;0;0,38;2,62;7,14;6,83;0;9,8;6,06;0,54;0,3;0,64;3,48;0,76;0,02;3,84;0,1;3,83;1,62;1,11;0,32;0,01;0;0;0;28,52;;110,8;;0,72;1,4;;0,03;0,02;2,4;0,23;0,66;0,03;0,05;6,2;32,7;2,5;0,24;8,5;64,5;;6,6;82,3;0,21;2,94;0,18;;
Cheesecake m. digestivebotten frukt bär;1783;266;1112;14,58;20,91;5,11;0,46;58,07;0;0,75;1,22;10,18;8,86;1;11,4;12,34;1,52;0,57;1,82;5,96;1,99;0,04;5,69;0,4;5,05;0,99;0,69;0,15;0,05;0;0,02;0,02;131,83;214,8;223,6;110;0,93;2;;0,04;0,18;4,1;0,16;1,4;0,05;0,51;31,1;88,5;13,8;0,55;59;109,6;;9,2;125,1;0,31;6,51;0,57;;3,5
Cheesecake m. digestivebotten;1784;292;1222;19,96;21,25;5,52;0,38;51,8;0;1,02;0,17;14,18;12,38;3;14,4;12,52;1,94;0,56;1,71;5,7;1,92;0,04;5,86;0,29;5,38;1,41;0,94;0,21;0,03;0,01;0,01;0,01;90,37;;206,6;;0,43;1,67;;0,03;0,15;1,8;0,24;1,58;0,04;0,3;13,1;90,7;10,1;0,41;71,3;95;;9,3;241,2;0,6;4,61;0,59;;
Mannagrynskaka mannagrynspudding;1785;104;435;15,27;2,37;4,91;0,46;75,16;0;1,81;2,3;7,01;2,97;0;9,4;1,15;0,11;0,05;0,15;0,62;0,2;0;0,7;0,05;0,63;0,2;0,15;0,02;0,01;0;0;0,01;33,75;31,9;32,8;11;0,96;0,56;;0,04;0,15;0,6;0,14;1,24;0,05;0,54;10,7;113,4;61,4;0,4;112,1;175,8;;13,3;396,3;0,99;3,32;0,53;;
Äppelsmulpaj;1786;241;1008;32,46;10,93;1,83;2,55;51,79;0;0,45;4,72;12,92;12,66;3;17,6;5,45;0,49;0,27;0,58;3,13;0,67;0,02;3,44;0,08;3,44;1,51;1,05;0,29;0,01;0;0;0;15;;93,8;;0,61;1,23;;0,03;0,01;3,9;0,26;0,58;0,04;0;5,1;36,2;0,8;0,3;7,3;84,7;;10;69,8;0,17;1,75;0,2;;
Katrinplommonsufflé;1788;62;258;12,42;0,25;1,84;0,86;83,6;0;1,05;5,57;5,11;5,11;0;10,7;0,03;0;0;0;0,02;0;0;0,14;0;0,14;0,06;0,06;0;0;0;0;0;0;0;2,9;29;0;0,25;;0;0,06;0,1;0,44;0,86;0,01;0,01;0,6;14,2;0,9;0,23;12,4;133,9;;7,7;21,7;0,05;2,79;0,07;;0,2
Äppelpaj friterad;1789;303;1269;35,1;16,6;2,6;1,7;42,9;0;1,1;5,2;8,8;8,8;0;14;5,5;0,2;0,63;0,36;2,27;1,89;0,09;8,1;0,13;7,95;1,91;1,69;0,22;0;0;0;0;11;0;10;120;0;0;;0,1;0,07;1;1,17;1,6;0,04;0,1;4;40;;1,1;14;49;;9;384;0,96;0,3;0,2;;0
Banan friterad;1790;176;737;27,28;6,02;2,25;1,53;61,01;0;1,94;9,33;1,9;1,68;0;11,2;2,71;0;0,01;0,05;2,33;0,27;0,02;2,2;0,01;2,17;0,72;0,69;0,03;0;0;0;0;0;0;93,6;879;0;1,18;;0,11;0,03;5,9;0,58;0,97;0,2;0;11;264,1;2,6;0,13;179,2;231,7;;20,8;183,5;0,46;1,87;0,29;;
Äpple ugnsstekt m. olja el. flytande margarin socker mandelmassa valnötter;1791;307;1284;23,69;20,97;4,1;4,59;45,87;0;0,83;4,51;19,08;18,96;0;23,6;1,93;0,02;0,01;0,03;1,27;0,48;0,06;9,23;0,06;9;8,88;7,03;1,83;0;0;0;0;0;32,2;35,7;39;0,3;4,49;;0,03;0,05;3,3;0,42;1,1;0,09;0;21,1;87,3;0,1;0,64;22,7;142,3;;40,2;33,2;0,08;0,12;0,59;;
Banan friterad m. glass tillagad på restaurang;1792;253;1058;30,3;13,22;2,38;1,7;51,43;0;1,02;7,84;11,66;9,7;0;19,5;2,72;0,36;0,24;0,12;1,38;0,47;0,05;5,26;0,03;5,11;4,65;4,28;0,36;0;0;0;0;2,9;6;1,2;11;0,1;4,7;6,8;0,03;0,07;0;0,37;0,8;0,15;0,11;15;119;4;0,24;33,4;190;0,07;14;201;0,5;1,4;2,15;11,2;0
Apelsinmarmelad;1793;233;976;56,9;0;0,2;0,7;42;0;0,2;31,6;22,5;22,5;0;54,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3;16;0;0,1;;0,01;0,01;5;0,15;0,18;0;0;5;2;0;0,3;20;20;0,05;1;20;0,05;0,3;0;;0
Gelé röda vinbär;1794;280;1172;68,4;0;0,2;0,7;30,5;0;0,2;37,1;26,6;26,6;0;63,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;30;0;0,4;;0,01;0,01;0;0,15;0,18;0,02;0;1,6;10;0;0,6;8;73;0,02;4;20;0,05;0,2;0;;0
Gelé svarta vinbär;1795;265;1110;64,7;0;0,2;0,8;34;0;0,3;35,9;25,5;25,5;0;61,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;48;0;1;;0,01;0,01;15;0,15;0,18;0,04;0;1,6;8;0;1,1;12;110;;4;14;0,04;0,2;0,1;;0
Apelsinmarmelad lättsockrad lag;1796;185;774;44,5;0,1;0,5;0,7;54;0;0,2;24,3;17,3;17,3;0;41,6;0,01;0;0;0;0,01;0;0;0,02;0;0,02;0,03;0,01;0,02;0;0;0;0;0;0;4;48;0;0,1;;0,01;0,01;5;0,13;0,21;0;0;5;4;0,1;0,1;10;20;;1;20;0,05;0,3;0;;0
Marmelad olika smaker;1797;238;995;57,7;0,1;0,3;0,7;41;0;0,2;31,6;22,5;22,5;0;54,1;0,01;0;0;0;0,01;0;0;0,05;0;0,04;0,02;0,02;0;0;0;0;0;0;0;1;12;0;0,1;;0,02;0,02;10;0,2;0,25;0,02;0;5;16;;0,5;18;80;;10;50;0,13;0;0,1;;0
Lingonsylt;1798;148;620;35,3;0,2;0,25;1;63,1;0;0,11;20,5;10,3;9,1;0;30,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;2;0;0,31;2,3;0;0;0,3;0,19;0,2;0;0;2;5;0;0,16;9,9;32,5;0,03;2,5;11,5;0,03;0;0,07;0;0
Lingonsylt osötad;1800;43;181;8,8;0,4;0,4;1,2;89;0;0,2;8,5;0,2;0,2;0;8,7;0,02;0;0;0;0,02;0;0;0,05;0;0,04;0,28;0,12;0,16;0;0;0;0;0;0;2,5;30;0;0,8;;0,03;0,04;0;0,15;0,22;0;0;4;28;;0,3;37;90;;4;1;0;0,3;0,1;;0
Jordgubbssylt;1801;171;715;41,1;0,1;0,25;1,1;57,3;0;0,19;15,8;22,6;22,6;0;38,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;2;0;0,17;1,3;0;0,07;3,3;0,13;0,2;0,01;0;17,5;8,1;30,8;0,29;9,5;57,7;0,02;4,3;11,3;0,03;0;0,05;0;0
Björnbärssylt;1802;174;727;41,2;0,1;0,2;2,4;56;0;0,1;25,1;16,9;16,9;0;42;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,06;0,04;0,03;0;0;0;0;0;0;3;36;0;0,3;;0;0,01;0;0,2;0,23;0;0;5,1;18;0,4;0,5;20;100;;11;50;0,13;0;0,1;;0
Blåbärssylt;1803;148;620;34,9;0,3;0,2;1,5;63;0;0,1;18,8;13,2;13,2;0;32;0,01;0;0;0;0,01;0;0;0,03;0;0,03;0,2;0,09;0,11;0;0;0;0;0;0;0,5;6;0;0,1;;0,01;0,02;0;0,1;0,13;0;0;1;7;1,6;0,3;13;45;;4,5;50;0,13;0;0,1;;0
Hallonsylt;1804;184;769;43,6;0,2;0,4;1,7;54;0;0,1;24,7;17,3;17,3;0;42;0,02;0;0;0;0,01;0;0;0,02;0;0,02;0,13;0,07;0,06;0;0;0;0;0;0;1;12;0;0,7;;0;0,02;0;0,25;0,32;0;0;4,4;15;0;0,3;17;65;;12,5;15;0,04;0;0,1;;0
Hjortronsylt;1805;181;758;42;0,3;0,5;3;54;0;0,2;24,7;17,3;17,3;0;42;0,03;0;0;0;0,02;0;0;0,02;0;0,02;0,19;0,11;0,09;0;0;0;0;0;0;30;360;0;0,15;;0,02;0,02;0;0,1;0,18;0;0;6;6;;0,2;5;26;;5;50;0,13;0;0,1;;0
Krusbärssylt;1806;163;681;38,5;0,2;0,3;1,8;59;0;0,2;22,6;15,4;15,4;0;38;0,02;0;0;0;0,02;0;0;0,02;0;0,02;0,12;0,05;0,04;0;0;0;0;0;0;6,7;80;0;0,19;;0,01;0,02;0;0,1;0,15;0;0;2;10;;0,1;10;60;;6;30;0,08;0;0,1;;0
Körsbärssylt;1808;181;757;42,6;0,3;0,7;1,2;55;0;0,2;23,8;16,2;16,2;0;40;0,07;0;0;0;0,05;0,02;0;0,08;0;0,08;0,09;0,05;0,04;0;0;0;0;0;0;17,5;210;0;0,1;;0,01;0,02;5;0,2;0,32;0;0;1,4;10;;0,1;10;60;;6;30;0,08;0;0,1;;0
Äppelmos;1809;233;976;56,9;0;0,2;0,7;42;0;0,2;35,9;8,2;8,2;0;44,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;30;0;0,09;;0,1;0,02;1;0,2;0,23;0,03;0;1;24;0;0,9;5;112;;2;4;0,01;0;0;;0
Äppelmos lättsockrad;1810;128;534;30,9;0;0,2;0,7;68;0;0,2;21,7;10;10;0;31,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;0;0,09;;0,02;0,01;1;0,2;0,23;0,03;0;1;24;;0,5;5;112;;2;4;0,01;0;0;;0
Äppelmos osötad el. sötningsm.;1811;48;201;11,3;0;0,2;0,7;87,7;0;0,1;8;2;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;54;0;0,09;;0,03;0,04;0;0,1;0,13;0,03;0;1;12;;0,3;10;170;;5;15;0,04;0;0,1;;0
Cumberlandsås;1812;214;895;47,97;0,29;0,57;0,7;48,24;1,83;0,39;25,58;18,34;18,34;0;44;0,01;0;0;0;0,01;0;0;0,18;0;0,06;0,07;0,04;0,03;0;0;0;0;0;0;3,3;39;0;0,6;;0,02;0,02;13,4;0,16;0,26;0,03;0;4,2;;0,3;0,91;40;112,8;;12,1;15,4;0,04;0,6;0,08;;0
Apelsinsaft konc. vitberik.;1814;194;813;47,5;0;0,3;0;52;0;0,2;15,6;30,4;30,4;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;54;0;0,1;;0,04;0;140;0,1;0,15;0;0;5;7;;0;4;96;;0;22;0,06;0;0;;0
Apelsinsaft drickf. vitberik.;1815;30;128;7,5;0;0;0;92,5;0;0;2,5;4,9;4,9;0;7,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;6;0;0;;0,01;0;25;0;0;0;0;1;2;0,3;0;1;19;;5,5;4;0,01;0;0;;0
Saft lättsockrad konc.;1817;213;891;52,4;0;0;0;47,4;0;0,2;23,8;28,6;28,6;0;52,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0,2;0;0;1;6,2;1;0,1;7,5;94;0,01;5,6;15,7;0,04;0;0,03;0;0
Måltidsdryck drickf.;1818;36;150;8,8;0;0;0;91,2;0;0,02;2,98;3,58;3,58;0;6,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,1;0,8;0,1;0,01;0,9;11,8;0;0,7;2;0;0;0;0;0
Blandsaft konc.;1819;213;891;52,4;0;0;0;47,4;0;0,2;23,8;28,6;28,6;0;52,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0,2;0;0;1;6,2;1;0,1;7,5;94;0,01;5,6;15,7;0,04;0;0,03;0;0
Saft drickf.;1820;36;150;8,8;0;0;0;91,2;0;0,02;2,98;3,58;3,58;0;6,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,1;0,8;0,1;0,01;0,9;11,8;0;0,7;2;0;0;0;0;0
Svartvinbärssaft konc. berikad;1821;174;726;42,3;0;0,4;0;57;0;0,3;14,2;27,8;27,8;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;30;0;0,1;;0,02;0,01;98;0,15;0,22;0,02;0;5;8,5;;0,4;7,5;92;;22;24;0,06;0;0;;0
Saft sötningsm. konc.;1822;93;391;22,5;0;0,5;0;76;0;1;3,5;0,1;0,1;0;3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;30;0;0,1;;0,04;0,05;25;0,08;0,16;0,02;0;5;15;0,1;0,5;10;120;;27,5;25;0,06;0;0;;0
Fruktdryck m. kolsyra;1826;40;168;9,9;0;0;0;90;0;0,1;1;9;9;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0,5;0;0;2;11;0;0,7;23;0,06;0;0;;0
Fruktdryck u. kolsyra;1827;48;202;11,9;0;0;0;88;0;0,1;1;9;9;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;2;40;;0;26;0,07;0;0;;0
Läsk;1828;43;178;10,5;0;0;0;89,5;0;0,02;3,6;6,9;6,9;0;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,9;0,4;0,01;0,3;1,7;0;0;0;0;0
Läsk cola;1829;43;178;10,5;0;0;0;89,5;0;0,02;3,6;6,9;6,9;0;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,8;0;0;1,9;0,4;0,01;0,3;1,7;0;0;0;0;0
Läsk light;1830;0;2;0,1;0;0;0;99,88;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,9;0,4;0,01;0,3;1,7;0;0;0;0;0
Läsk cola light;1831;0;2;0,1;0;0;0;99,9;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,8;0;0;1,9;0,4;0,01;0,3;1,7;0;0;0;0;0
Sportdryck drickf.;1832;29;122;7,2;0;0;0;92,5;0;0,3;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;4,4;;0;0;8;;0;29;0,07;0;0;;0
Saft sötningsm. drickf.;1834;9;39;2,25;0;0,05;0;97,6;0;0,1;0,35;0,01;0,01;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;3;0;0,01;;0;0,01;2,5;0,01;0,02;0;0;0,5;1,5;1,1;0,05;4,6;12,4;;3,5;4,3;0,02;0;0;;0
Hallonsaft drickf.;1837;37;153;9;0;0;0;91;0;0;4,8;4,8;4,8;0;9,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;6;0;0;;0;0;0;0;0;0;0;1;4;0,1;0,1;4;20;;5,5;4;0,01;0;0;;0
Svartvinbärssaft drickf. berikad;1838;32;136;8;0;0;0;92;0;0;4;4;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0;;0;0;19;0;0;0;0;1;2;0,1;0;2;23;;5,5;6;0,02;0;0;;0
Lingondricka drickf. berikad;1840;28;119;7;0;0;0;93;0;0;2,5;4,5;4,5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;3;0;0;;0;0;15;0;0;0;0;0;1;;0;1;15;;0;5;0,01;0;0;;0
Äppeldricka drickf. berikad;1841;32;134;7,9;0;0;0;92;0;0,1;2,9;5,1;5,1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;15;0;0;0;0;0;5;;0;5;80;;3;2;0,01;0;0;;0
Saft sötningsm. drickf. berikad;1842;17;71;4,2;0;0;0;95,8;0;0;4,2;0;0;0;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;6;0;0,02;;0,02;0,01;12;0,09;0,09;0;0;1;7;;0,2;8,5;61,5;;5,5;3,5;0,01;0;0;;0
Glass isglass;1843;95;397;23,25;0;0,13;0;76,5;0;0,12;3,1;19,5;19,5;0;22,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;6;0;0;;0;0;0;0;0,02;0;0;0;2;1,2;0,1;4;7;;5,5;47;0,12;0;0;;0
Glass sorbet;1844;132;553;30,5;0,57;0,77;0;67,88;0;0,28;4,2;21,9;21;0;26,1;0,2;0,01;0,03;0,02;0,07;0,07;0;0,19;0;0,19;0,08;0,07;0,01;0;0;0;0;7;0;0,8;9;0;0,1;;0,02;0,05;12,8;0,07;0,26;0,01;0,1;7;38;1,2;0,2;19,5;60,5;;8;19;0,05;0,1;0,7;;0
Glass isglass saftis;1845;97;404;20,5;1,5;0;0;77,94;0;0,06;3,3;17,2;17,2;0;20,5;0,83;0,1;0,38;0,16;0,12;0,07;0;0,24;0;0,23;0,14;0,11;0,03;0;0;0;0;0;0;0,5;6;0;0;;0,01;0;6,6;0;0;0;0;1;2;1,2;0;0;18;;5,5;0;0;0;0;;0
Chokladdryck m. vatten;1846;47;198;7,64;0,33;3,12;0,42;87,78;0;0,71;0;7,44;3,45;0;7,4;0,2;0,01;0;0,01;0,08;0,09;0;0,1;0;0,1;0,01;0,01;0;0;0;0;0;1,57;0,5;0,6;1;0;0;;0,02;0,08;0;0,1;0,81;0,02;0,33;2,6;84;12,9;0,16;103,4;120;;15,8;44,2;0,12;0,8;0,41;;0
Chokladdryck drickf.;1847;68;286;9,8;1,5;3,5;0,5;84;0;0,7;0;8,8;5,1;0;8,8;1;0,09;0,05;0,15;0,43;0,17;0,01;0,38;0,03;0,32;0,04;0,03;0,01;0;0;0;0;12;16;16,6;7;0;0,03;;0,04;0,16;0;0,1;0,92;0,03;0,1;3,2;95;25,8;0,4;110;170;;13;70;0,18;1,3;0,4;;0
Mjölkchoklad m. hackade hasselnötter;1848;545;2282;55,6;31,76;8,72;1,7;0,53;0;1,68;0;47,27;38;0;47,3;15,04;0,23;0,11;0,34;6,32;7,65;0,23;13,81;0,1;13,63;1,51;1,44;0,06;0;0;0;0;14,4;40,5;41,9;16;0,1;4,45;10,3;0,07;0,31;0;0,44;1,9;0,15;0,22;30,7;231,3;30;2,14;194;387,3;0,47;63,4;56,1;0,14;2,3;1,32;1,16;0
Mjölkchoklad fylld m. mandelkrokant;1849;539;2257;60,1;31,1;4,13;1,8;1,37;0;1,49;6,18;45,29;40,7;0;51,5;15,86;0,66;0,8;0,93;7,53;5,46;0,19;11,56;0,15;11,24;2,27;1,94;0,31;0;0;0;0;22,3;60,4;60,4;5;0,1;3,09;21,1;0,03;0,21;0;0,26;0,9;0,03;0,16;15,1;109,6;19;1,01;57,2;173,9;0,13;27;321,1;0,8;1,4;0,57;0,79;0
Mjölkchoklad m. mjuk kolafyllning;1850;496;2077;62,9;24,25;6,52;0;4,55;0;1,82;2,93;41,85;32,2;0;44,8;13,43;0,19;0,12;0,31;5,92;6,53;0,21;8,9;0,08;8,75;0,85;0,8;0,05;0;0;0;0;12,6;26,6;27,5;11;0,1;1,37;15;0,05;0,3;0;0,26;1,3;0,06;0,43;15,9;190,1;32;1,4;183,8;318,6;0,15;31,9;210,9;0,53;2,9;0,93;10,4;0
Kex m. mjölkchokladöverdrag;1851;497;2079;67,2;22,31;5,44;2,3;1,56;0;1,21;0,23;45,75;39,4;0;46;14,42;0,58;2,42;1,07;4,7;5,32;0,16;6,12;0,07;5,99;0,78;0,69;0,05;0;0;0;0;16,1;47,2;48,4;14;0,1;0,48;8,4;0,07;0,32;0;0,48;1,4;0,05;0,2;16,1;151,4;31;1,77;117,8;259,1;0,28;40,9;81,1;0,2;1,6;0,92;10,5;0
Kex m. kola mjölkchokladöverdrag;1852;481;2012;66,1;21,17;5,17;2,2;4,25;0;1,11;7,6;39,16;26,2;0;46,8;12,39;0,47;1,04;0,67;5,99;3,97;0,13;6,88;0,07;6,76;0,96;0,9;0,04;0;0;0;0;10,2;25,5;26,3;9;0,1;1,47;11,2;0,05;0,29;0;0,34;1,2;0,06;0,26;14,7;119,1;7;1,14;65,3;196,4;0,18;27,7;139;0,35;1,5;0,66;13,5;0
Mjuk nougat m. kolasås jordnötter mjölkchokladöverdrag;1853;490;2052;54;25,09;10,59;3,2;5,5;0;1,61;7,14;35,18;25,2;0;42,3;10,39;0,04;0,09;0,25;5,63;3,62;0,25;9,99;0,06;9,76;3,57;3,53;0,04;0;0;0;0;8;19;19,6;7;0,1;2,98;5,9;0,06;0,22;0;4,01;5,8;0,17;0,21;31,5;189,5;8;1,95;92,9;302,9;0,27;67,2;182,4;0,46;10,4;1,35;3,44;0
Mjuk chokladmaräng m. kola mjölkchokladöverdrag;1854;445;1862;69,3;16,2;3,95;2,2;7,28;0;1,08;6,93;41,63;26,1;0;48,6;8,67;0,19;0,09;0,29;0,03;3,76;0,11;6,06;0,06;5,96;0,73;0,68;0,04;0;0;0;0;0,72;29,1;29,8;9;0,1;1,44;8,7;0,04;0,19;0;0,28;0,9;0,05;0,24;14,6;125,1;9;1,31;83,9;222,1;0,19;29,2;103,3;0,26;3,4;0,61;8,06;0
Choklad chokladpraliner;1855;547;2290;53,7;33,7;7,4;0,6;2,7;0;1,9;0;50,8;43,3;0;50,8;18,5;0,15;0,35;0,88;8,29;8,47;0,2;11,9;0,15;11,73;1,3;1,08;0,18;0;0;0;0;7;69;72;36;0;0,41;;0,16;0,35;0;0,44;1,67;0,03;0;7;260;25;2,1;289,5;406,5;0,32;65;74;0,19;1,8;1,3;;0
Chokladpralin;1858;540;2261;53,3;33,5;6,6;0,4;4,9;0;1,3;0;53;49;0;53;15,2;0,1;0,6;0,45;6,21;7,38;0,25;15,1;0,1;15;1,53;1,46;0,06;0;0;0;0;0;15;17,2;26;0;1;;0,11;0,21;0;0,5;1,6;0,02;0;7;180;24,2;1,6;97;315;;51;31;0,08;1;1,1;;0
Mjuk kokos m. mjölkchokladöverdrag;1859;478;2000;56,1;25,7;3,61;4,2;9,3;0;1,1;3,15;43;36,5;0;46,2;19,5;1,97;5,63;2,33;4,81;4,56;0,12;4,33;0,05;4,28;0,62;0,54;0,04;0;0;0;0;7;19;19,7;8;0,63;0,16;1,8;0,02;0,12;0;0,36;1;0,06;0,17;12,8;125;0,1;1,6;79;316;0,3;47;82;0,21;5;0,78;0,9;0
Nötkräm chokladkräm;1860;526;2199;56,9;29,6;5,75;4,9;1,4;0;1,5;0;57,3;47,7;0;57,3;9,15;0;0,07;0,22;7,43;1,35;0,09;15,79;0,06;15,67;3,36;3,29;0,07;0;0;0;0;2;0;0,2;3;0,63;7,8;4,5;0,01;0,28;0;0,45;1,4;0,14;0,2;23,7;178;7;2,3;124;476;0,58;76;28;0,07;5;0,12;0,7;0
Choklad osötad;1861;577;2414;46,9;39;10;0,4;2,3;0;1,4;0;4,3;0;0;4,3;22,89;0;0,19;0,59;9,93;12,19;0,19;12,56;0;12,45;1,38;1,22;0;0;0;0;0;0;15;17,2;26;0;0,13;;0,16;0,22;0;0,5;2,17;0,02;0;7;189;2;2,2;133,5;326,5;;175;63,5;0,16;2;0,2;;0
Gelékonfekt;1863;352;1474;79,4;0;7,3;0;13;0;0,3;10,1;52;52;0;62,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1,22;0;0;0;4;4;1,3;140;8;0,06;43;74;0,19;0;0,1;;0
Karameller syrliga;1864;395;1652;97,2;0;0;0;2,6;0;0,2;15;63;62;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;100;;1,1;89;210;0,14;29;25;0,06;0;0,1;;0
